Name,Board size,Created,Industry,Market Cap Ranking,Sustainability Experience,Tags,FF_Industry
Daimler Truck,20,"April 8, 2022 12:54 PM",Automotive,41,Yes,,Automobiles and Trucks
Carl Zeiss Meditec,9,"April 11, 2022 4:51 PM",Health care,43,No,,Healthcare
Deutsche Wohnen,6,"April 11, 2022 5:44 PM",Real estate,44,No,,Real Estate
Evonik,20,"April 11, 2022 6:24 PM",Chemicals,45,No,,Chemicals
Knorr-Bremse,12,"April 12, 2022 11:45 AM",Manufacturing,46,Yes,,Automobiles and Trucks
Nemetschek,4,"April 12, 2022 3:51 PM",Software & IT,47,No,,Business Services
Talanx,16,"April 12, 2022 4:45 PM",Financial services,48,No,,Banking
Rheinmetall,16,"April 13, 2022 10:56 AM",Defence,49,No,,Defense
Commerzbank,20,"April 13, 2022 1:17 PM",Financial services,50,Yes,Sustainability Committee,Banking
Lufthansa,20,"April 13, 2022 2:31 PM","Aerospace, Transportation",51,No,,Transportation
Uniper,12,"April 13, 2022 9:12 PM",Energy,52,No,,Utilities
Wacker Chemie,16,"April 15, 2022 1:01 PM",Chemicals,53,No,,Chemicals
KION Group,16,"April 15, 2022 2:51 PM",Manufacturing,54,Yes,"Alleged Expert, Sustainability Expert",Business Services
LEG Immobilien,7,"April 16, 2022 12:37 PM",Real estate,56,No,Alleged Expert,Real Estate
Telefonica Deutschland,16,"April 16, 2022 1:33 PM",Telecommunications,57,No,Trainning,Communication
RATIONAL,7,"April 18, 2022 10:10 AM",Manufacturing,58,No,,Machinery
GEA,12,"April 18, 2022 12:09 PM",Consumer goods,59,No,,Consumer Goods
Bechtle,12,"April 19, 2022 8:39 AM",Software & IT,60,Yes,,Business Services
CTS Eventim,4,"April 20, 2022 7:34 AM",Entertainment,61,No,,Entertainment
United Internet,6,"April 20, 2022 9:25 AM",Telecommunications,62,No,,Communication
K+S,16,"April 21, 2022 8:07 AM",Chemicals,64,No,,Chemicals
Evotec,6,"April 21, 2022 9:27 AM",Biotechnology,65,No,,Pharmaceutical Products
Aurubis,12,"April 21, 2022 6:53 PM",Building materials,66,Yes,,Construction Materials
Sixt,3,"April 22, 2022 11:35 AM",Car rental,67,No,Alleged Expert,Personal Services
ThyssenKrupp,20,"April 22, 2022 9:44 PM",Conglomerate,68,No,,Construction
Fraport,20,"April 24, 2022 11:41 AM",Transportation,69,Yes,,Transportation
Scout24,6,"April 25, 2022 11:32 AM","E-commerce, Real estate",70,No,,Real Estate
Varta,6,"April 25, 2022 12:24 PM",Manufacturing,71,Yes,,Electrical Equipment
Hugo Boss,12,"April 25, 2022 2:50 PM",Clothing,72,No,,Apparel
Ströer,16,"April 26, 2022 1:18 PM","Advertising, Mass media",73,No,Task of existing committee,Business Services
Lanxess,12,"April 26, 2022 1:59 PM",Chemicals,74,Yes,,Chemicals
TAG Immobilien,6,"April 26, 2022 5:18 PM",Real estate,75,Yes,Sustainability Expert,Real Estate
Freenet,12,"April 26, 2022 5:52 PM",Telecommunications,77,No,,Telecommunications
Siltronic,12,"April 27, 2022 8:50 AM",Manufacturing,78,No,,Electrical Equipment
TeamViewer,6,"April 27, 2022 10:11 AM",Software & IT,80,No,Task of existing committee,Business Services
ProSiebenSat.1 Media,9,"April 27, 2022 12:10 PM",Mass media,81,No,,Entertainment
Jungheinrich,12,"April 28, 2022 5:08 PM",Manufacturing,82,No,,Transportation
Aixtron,5,"April 29, 2022 8:27 PM",Manufacturing,83,No,,Electrical Equipment
Software,6,"April 30, 2022 12:34 PM",Software & IT,84,No,,Business Services
Hypoport,3,"April 30, 2022 2:49 PM",Conglomerate,85,No,,Business Services
