Rank,Name,Symbol,marketcap,price (USD),country
1,Linde,LIN,1.46206E+11,285.25,United Kingdom
2,SAP,SAP,1.34646E+11,111.95,Germany
3,Siemens,SIEGY,1.19563E+11,70.75,Germany
4,Volkswagen,VOW3.DE,1.13197E+11,201.78,Germany
5,Airbus,EADSF,97312555008,123.7,Netherlands
6,Allianz,ALIZF,95482576896,223,Germany
7,Deutsche Telekom,DTE.DE,88120513088,17.67,Germany
8,Merck KGaA,MRK.DE,84895015684,195.26,Germany
9,Mercedes-Benz,MBG.DE,82773118919,77.37,Germany
10,BASF,BFFAF,67486691328,69,Germany
11,Siemens Healthineers,SEMHF,64599552000,57.54,Germany
12,BMW,BMW.DE,62188969024,95.61,Germany
13,Deutsche Post,DPW.DE,61632179543,49.74,Germany
14,Bayer,BAYZF,59743657984,60.81,Germany
15,Adidas,ADDDF,46628433920,242.73,Germany
16,Infineon,IFX.DE,43452584073,33.39,Germany
17,Munich RE,MUV.VI,39924214144,277.21,Germany
18,Vonovia,VNA.DE,39296110089,50.5,Germany
19,Henkel,HELKF,35368783872,78,Germany
20,E.ON,EOAN.DE,33731728902,12.94,Germany
21,Deutsche Börse,DBOEF,31829880832,173.44,Germany
22,Porsche SE,PAH3.DE,31414498633,102.58,Germany
23,Deutsche Bank,DB,30554140672,12.77,Germany
24,RWE,RWE.DE,28897120919,42.73,Germany
25,Sartorius,SRT.DE,27720909999,380.5,Germany
26,Fresenius,FRE.DE,22736611037,36.04,Germany
27,Beiersdorf,BEI.DE,22337192246,98.48,Germany
28,Fresenius Medical Care,FMS,19185551360,31.79,Germany
29,Continental,CON.DE,17559908896,87.8,Germany
30,Symrise,SYIEF,16261584896,114.13,Germany
31,Zalando,ZAL.DE,16087209456,62.39,Germany
32,Siemens Energy,ENR.F,15583583132,21.5,Germany
33,PUMA,PMMAF,14765193216,93.3,Germany
34,HeidelbergCement,HEI.DE,12883749436,64.93,Germany
35,Delivery Hero,DHER.F,12867011307,51.27,Germany
36,Brenntag,BNR.DE,12519318176,81.03,Germany
37,MTU Aero Engines,MTX.DE,11872753763,223.01,Germany
38,Qiagen,QGEN,11068989440,48.69,Netherlands
39,Covestro,1COV.F,10124480396,52.41,Germany
40,HelloFresh,HFG.DE,8848093158,50.87,Germany
