Company,Name,CV,Nationality,Year of Birth,Gender,PhD,Post-Doc,Committees,Chairperson of Committee,Employee Delegat,Member Since,Sustainability experience,Notes
HelloFresh,John Rittenhouse,https://ir.hellofreshgroup.com/websites/hellofresh/English/4000/corporate-governance.html,American,1956,M,N,N,"Audit, Executive and Nomination, Remuneration, Sustainability","Executive and Nomination, Remuneration",N,2015,N,Chairman of supervisory board
HelloFresh,Ursula Radeke-Pietsch,https://ir.hellofreshgroup.com/websites/hellofresh/English/4000/corporate-governance.html,German,1958,F,N,N,"Audit, Remuneration",,N,2015,Y,"Since April 2019, Ms. Radeke-Pietsch has been Global Head of Strategic Projects at Siemens AG, Munich. In this role, she develops, structures and manages global M&A projects, and leads and manages both the digitalization process and ESG initiatives for the group's Corporate Finance division"
HelloFresh,Derek Zissman,https://ir.hellofreshgroup.com/websites/hellofresh/English/4000/corporate-governance.html,British,1944,M,N,N,"Audit, Executive and Nomination",Audit,N,2015,N,
HelloFresh,Stefan Smalla,https://ir.hellofreshgroup.com/websites/hellofresh/English/4000/corporate-governance.html,German,1977,M,N,N,"Remuneration, Sustainability",,N,2021,N,
HelloFresh,Susanne Schröter-Crossan,https://ir.hellofreshgroup.com/websites/hellofresh/English/4000/corporate-governance.html,German,1979,F,N,N,"Executive and Nomination, Sustainability",,N,2021,Y,"During her time at Deutsche Bank AG, Ms. Schröter-Crossan was the global contact for ESG issues"
Covestro,Richard Pott,https://www.covestro.com/en/company/management/supervisory-board,German,1953,M,Y,N,"Executive, Human Resources, Nomination","Executive, Human Resources, Nomination",N,2015,N,Chairman of supervisory board
Covestro,Petra Kronen,https://www.covestro.com/en/company/management/supervisory-board,German,1964,F,N,N,"Audit, Executive, Human Resources",,Y,2015,N,
Covestro,Christine Bortenlänger,https://www.covestro.com/en/company/management/supervisory-board,German,1966,F,Y,N,Audit,,N,2015,N,
Covestro,Lise Kingo,https://www.covestro.com/en/company/management/supervisory-board,Danish,1961,F,N,N,Sustainability,Sustainability,N,2021,Y,"Prior to 2002, she held various positions in NovoZymes, Novo Holding, and Novo Nordisk, including in Internal Audit, Compliance, People & Organization, Branding, and Sustainability"
Covestro,Irena Küstner,https://www.covestro.com/en/company/management/supervisory-board,German,1966,F,N,N,Audit,,Y,2015,N,
Covestro,Ulrich Liman,https://www.covestro.com/en/company/management/supervisory-board,German,1959,M,Y,N,"Human Resources, Sustainability",,Y,2018,N,
Covestro,Rolf Nonnenmacher,https://www.covestro.com/en/company/management/supervisory-board,German,1954,M,Y,Y,Audit,Audit,N,2015,N,
Covestro,Petra Reinbold-Knape,https://www.covestro.com/en/company/management/supervisory-board,German,1959,F,N,N,"Audit, Executive",,Y,2020,N,
Covestro,Regine Stachelhaus,https://www.covestro.com/en/company/management/supervisory-board,German,1955,F,N,N,"Executive, Human Resources, Nomination",,N,2015,N,
Covestro,Marc Stothfang,https://www.covestro.com/en/company/management/supervisory-board,German,1966,M,N,N,Sustainability,,Y,2017,N,
Covestro,Patrick Thomas,https://www.covestro.com/en/company/management/supervisory-board,British,1957,M,N,N,"Audit, Nomination, Sustainability",,N,2020,N,
Covestro,Frank Werth,https://www.covestro.com/en/company/management/supervisory-board,German,1970,M,N,N,,,Y,2016,N,
MTU Aero Engines,Klaus Eberhardt,https://www.mtu.de/fileadmin/EN/1_Company/2_Supervisory_Board/CV/CV_Eberhardt_en.pdf,German,1948,M,N,N,"Mediation, Personnel","Mediation, Nomination, Personnel",N,2007,N,Chairman of supervisory board
MTU Aero Engines,Christine Bortenlänger,https://www.mtu.de/fileadmin/EN/1_Company/2_Supervisory_Board/CV/CV_Bortenlaenger_en.pdf,German,1966,F,Y,N,Audit,,N,2018,N,
MTU Aero Engines,Jürgen Geißinger,https://www.mtu.de/fileadmin/EN/1_Company/2_Supervisory_Board/CV/CV_Geissinger_en.pdf,German,1959,M,Y,N,"Mediation, Nomination, Personnel",,N,2005,N,
MTU Aero Engines,Rainer Martens,https://www.mtu.de/fileadmin/EN/1_Company/2_Supervisory_Board/CV/CV_Martens_en.pdf,German,1961,M,Y,N,,,N,2017,N,
MTU Aero Engines,Joachim Rauhut,https://www.mtu.de/fileadmin/EN/1_Company/2_Supervisory_Board/CV/CV_Rauhut_en.pdf,German,1954,M,Y,N,Audit,Audit,N,2009,N,
MTU Aero Engines,Marion Weissenberger-Eibl,https://www.mtu.de/fileadmin/EN/1_Company/2_Supervisory_Board/CV/CV_WeissenbergerEibl_en.pdf,German,1966,F,Y,Y,,,N,2013,Y,"In the context of the German sustainability strategy, Univ.-Prof. Dr Marion A. Weissenberger-Eibl was a member of the steering committee of the Federal Government’s “Science Platform Sustainability 2030” (https://www.uni-heidelberg.de/en/institutions/university-council/marion-a-weissenberger-eibl)"
Brenntag,Doreen Nowotne,https://corporate.brenntag.com/en/about/corporate-governance/supervisory-board/,German,1972,F,N,N,"Nomination, Presidential, Transformation","Nomination, Presidential, Transformation",N,2010,N,Chairwoman of supervisory board
Brenntag,Stefanie Berlinger,https://corporate.brenntag.com/en/about/corporate-governance/supervisory-board/,German,1973,F,N,N,Audit,,N,2015,N,
Brenntag,Wijnand Donkers,https://corporate.brenntag.com/en/about/corporate-governance/supervisory-board/,Dutch,1962,M,N,N,"Nomination, Presidential, Transformation",,N,2017,N,
Brenntag,Ulrich Harnacke,https://corporate.brenntag.com/en/about/corporate-governance/supervisory-board/,German,1957,M,N,N,Audit,Audit,N,2017,N,
