Company,Name,CV,Nationality,Year of Birth,Gender,PhD,Post-Doc,Committees,Chairperson of Committee,Employee Delegat,Member Since,Sustainability experience,Notes
Daimler Truck,Joe Kaeser,https://www.daimlertruck.com/company/corporate-governance/supervisory-board/kaeser.html,German,1957,M,N,N,"Nomination, Presidential","Nomination, Presidential",N,2021,N,Chairman of supervisory board
Daimler Truck,Michael Brecht,https://www.daimlertruck.com/company/corporate-governance/supervisory-board/michael-brecht.html,German,1965,M,N,N,"Audit, Presidential",,Y,2021,N,
Daimler Truck,Michael Brosnan,https://www.daimlertruck.com/company/corporate-governance/supervisory-board/michael-brosnan.html,American,1955,M,N,N,Audit,Audit,N,2021,N,
Daimler Truck,Bruno Buschbacher,https://www.daimlertruck.com/company/corporate-governance/supervisory-board/bruno-buschbacher.html,German,1978,M,N,N,,,Y,2021,N,
Daimler Truck,Harald Dorn,https://www.daimlertruck.com/company/corporate-governance/supervisory-board/harald-dorn.html,German,1971,M,N,N,,,Y,2021,N,
Daimler Truck,Jacques Esculier,https://www.daimlertruck.com/company/corporate-governance/supervisory-board/jacques-esculier.html,French,1959,M,N,N,,,N,2021,N,
Daimler Truck,Akihiro Eto,https://www.daimlertruck.com/company/corporate-governance/supervisory-board/akihiro-eto.html,Japanese,1960,M,N,N,Audit,,N,2021,N,
Daimler Truck,Laura Ipsen,https://www.daimlertruck.com/company/corporate-governance/supervisory-board/laura-ipsen.html,American,1964,F,N,N,,,N,2021,N,
Daimler Truck,Renata Brüngger,https://group.mercedes-benz.com/company/corporate-governance/board-of-management/jungo-bruengger/,Swiss,1961,F,N,N,Nomination,,N,2021,Y,"This Board of Management position includes Daimler Group’s Legal Department, the Compliance Organization and the Legal Product & Technology as well as the Corporate Data Protection and Corporate Audit. It is also responsible for respecting and protecting human rights and for the sustained anchoring of a corporate culture of integrity (Integrity & Sustainability Management) throughout the Group."
Daimler Truck,Carmen Klitzsch-Müller,https://www.daimlertruck.com/company/corporate-governance/supervisory-board/carmen-klitzsch-mueller.html,German,1970,F,N,N,,,Y,2021,N,
Daimler Truck,Jörg Köhlinger,https://www.daimlertruck.com/company/corporate-governance/supervisory-board/joerg-koehlinger.html,German,1963,M,N,N,Audit,,Y,2021,N,
Daimler Truck,John Krafcik,https://www.daimlertruck.com/company/corporate-governance/supervisory-board/john-krafcik.html,American,1961,M,N,N,,,N,2021,N,
Daimler Truck,Jörg Lorz,https://www.daimlertruck.com/company/corporate-governance/supervisory-board/joerg-lorz.html,German,1972,M,N,N,,,Y,2021,N,
Daimler Truck,Claudia Peter,https://www.daimlertruck.com/company/corporate-governance/supervisory-board/claudia-peter.html,German,1963,F,N,N,,,Y,2021,N,
Daimler Truck,Andrea Reith,https://www.daimlertruck.com/company/corporate-governance/supervisory-board/andrea-reith.html,German,1984,F,N,N,,,Y,2021,N,
Daimler Truck,Martin Richenhagen,https://www.daimlertruck.com/company/corporate-governance/supervisory-board/martin-h-richenhagen.html,"American, German",1952,M,Y,Y,,,N,2021,N,
Daimler Truck,Marie Wieck,https://www.daimlertruck.com/company/corporate-governance/supervisory-board/marie-wieck.html,American,1960,F,N,N,"Nomination, Presidential",,N,2021,N,
Daimler Truck,Harald Wilhelm,https://www.daimlertruck.com/company/corporate-governance/supervisory-board/wilhelm.html,German,1966,M,N,N,Audit,,N,2021,N,
Daimler Truck,Roman Zitzelsberger,https://www.daimlertruck.com/company/corporate-governance/supervisory-board/roman-zitzelsberger.html,German,1966,M,N,N,Presidential,,Y,2021,N,
Daimler Truck,Thomas Zwick,https://www.daimlertruck.com/company/corporate-governance/supervisory-board/thomas-zwick.html,German,1966,M,N,N,Audit,,Y,2021,N,
Carl Zeiss Meditec,Karl Lamprecht,https://www.zeiss.com/content/dam/meditec-ag/documents/2021-10_dr_karl_lamprecht_en.pdf,Austrian,1964,M,Y,N,"Audit, General, Nomination, Personnel","General, Personnel",N,2020,N,Chairman of supervisory board
Carl Zeiss Meditec,Michael Kaschke,https://www.zeiss.com/content/dam/corporate-new/about-zeiss/management/downloads/dr_michael_kaschke_en.pdf,German,1957,M,Y,Y,,,N,2002,N,
Carl Zeiss Meditec,Tania von der Goltz,https://www.zeiss.com/content/dam/meditec-ag/documents/2021-10_czm_cv_ar_tania_von_der_goltz_en.pdf,German,1968,F,N,N,"General, Personnel",,N,2016,N,
Carl Zeiss Meditec,Christian Müller,https://www.zeiss.com/content/dam/corporate-new/about-zeiss/management/downloads/cv-dr_christian-mueller_en.pdf,German,1967,M,Y,N,Nomination,Nomination,N,2019,N,
